mean,std,percentile_025,percentile_500,percentile_975,team_id,season,name,team_name
0.5851936340332031,0.036383483558893204,0.5156695246696472,0.5856512784957886,0.6580185890197754,3177,2022,pace_team_rw,DePaul
0.3705919682979584,0.035871271044015884,0.3037997782230377,0.37026846408843994,0.44361612200737,3177,2023,pace_team_rw,DePaul
0.3282657563686371,0.03520502150058746,0.25879013538360596,0.32895633578300476,0.3975917398929596,3177,2024,pace_team_rw,DePaul
0.19157230854034424,0.03549829125404358,0.12225152552127838,0.19168928265571594,0.2577170729637146,3177,2025,pace_team_rw,DePaul
0.18648041784763336,0.037206802517175674,0.11057651042938232,0.1863471418619156,0.25693216919898987,3177,2026,pace_team_rw,DePaul
0.18173831701278687,0.12395378947257996,-0.0663987398147583,0.1826387643814087,0.4291974902153015,3177,2027,pace_team_rw,DePaul
-0.10350264608860016,0.03595447912812233,-0.1760614812374115,-0.10223156958818436,-0.035499852150678635,3178,2010,pace_team_rw,Detroit
-0.114127017557621,0.0355236791074276,-0.1859343945980072,-0.11327050626277924,-0.04530667886137962,3178,2011,pace_team_rw,Detroit
-0.1457420438528061,0.03562667593359947,-0.21402476727962494,-0.14557507634162903,-0.0759291872382164,3178,2012,pace_team_rw,Detroit
-0.06740444898605347,0.03604889288544655,-0.13827556371688843,-0.0663294643163681,0.001533276168629527,3178,2013,pace_team_rw,Detroit
0.21294066309928894,0.03630920127034187,0.14119115471839905,0.2135324776172638,0.28339919447898865,3178,2014,pace_team_rw,Detroit
-0.029309475794434547,0.03673242777585983,-0.10084131360054016,-0.02927423268556595,0.04243582859635353,3178,2015,pace_team_rw,Detroit
0.12809722125530243,0.0379883237183094,0.054959848523139954,0.12799474596977234,0.20299066603183746,3178,2016,pace_team_rw,Detroit
0.15599296987056732,0.03498555347323418,0.08756473660469055,0.15570858120918274,0.22604195773601532,3178,2017,pace_team_rw,Detroit
0.25933271646499634,0.03640569746494293,0.18776364624500275,0.2598314583301544,0.3309837579727173,3178,2018,pace_team_rw,Detroit
0.012605366297066212,0.03807631880044937,-0.06234465911984444,0.0125205609947443,0.08395391702651978,3178,2019,pace_team_rw,Detroit
0.11169710010290146,0.03590508550405502,0.04335593432188034,0.11109299212694168,0.18297842144966125,3178,2020,pace_team_rw,Detroit
0.028197500854730606,0.04937777668237686,-0.07000135630369186,0.027934696525335312,0.1251496821641922,3178,2021,pace_team_rw,Detroit
0.09712091833353043,0.036292579025030136,0.025120247155427933,0.09667015075683594,0.1679602563381195,3178,2022,pace_team_rw,Detroit
0.03501606732606888,0.03833892568945885,-0.0396355465054512,0.03450139984488487,0.11101707816123962,3178,2023,pace_team_rw,Detroit
-0.03755173832178116,0.03593389317393303,-0.10670127719640732,-0.037776656448841095,0.034800976514816284,3178,2024,pace_team_rw,Detroit
0.146062433719635,0.037424467504024506,0.07172756642103195,0.14461639523506165,0.21986138820648193,3178,2025,pace_team_rw,Detroit
0.17731958627700806,0.037843648344278336,0.1048031896352768,0.17654427886009216,0.25483280420303345,3178,2026,pace_team_rw,Detroit
