mean,std,percentile_025,percentile_500,percentile_975,team_id,season,name,team_name,first_d1_season,last_d1_season
0.029960867017507553,0.023634329438209534,-0.018511049449443817,0.030018404126167297,0.0751442164182663,1209,2013,offense_team_rw,Georgia St,1985,2026
0.13220660388469696,0.023071831092238426,0.08799804002046585,0.13217604160308838,0.17787772417068481,1209,2014,offense_team_rw,Georgia St,1985,2026
0.09177043288946152,0.022732703015208244,0.04604029655456543,0.09217135608196259,0.13496504724025726,1209,2015,offense_team_rw,Georgia St,1985,2026
-0.06018661707639694,0.024639086797833443,-0.11083412915468216,-0.059741947799921036,-0.011658219620585442,1209,2016,offense_team_rw,Georgia St,1985,2026
0.00527759175747633,0.0226027499884367,-0.04146093875169754,0.005286518018692732,0.049200594425201416,1209,2017,offense_team_rw,Georgia St,1985,2026
0.04536150395870209,0.02194516733288765,0.002764868550002575,0.04554154351353645,0.08963523060083389,1209,2018,offense_team_rw,Georgia St,1985,2026
0.051309823989868164,0.022318784147500992,0.006533157546073198,0.05186709389090538,0.09645915776491165,1209,2019,offense_team_rw,Georgia St,1985,2026
0.055144574493169785,0.02256913110613823,0.012002423405647278,0.05459939315915108,0.09896167367696762,1209,2020,offense_team_rw,Georgia St,1985,2026
0.04223296418786049,0.026347992941737175,-0.008521423675119877,0.042468391358852386,0.09462764859199524,1209,2021,offense_team_rw,Georgia St,1985,2026
-0.03427685797214508,0.024236103519797325,-0.08193467557430267,-0.033500127494335175,0.01374330185353756,1209,2022,offense_team_rw,Georgia St,1985,2026
-0.11599165946245193,0.02452167123556137,-0.1633574217557907,-0.11622200906276703,-0.06876076757907867,1209,2023,offense_team_rw,Georgia St,1985,2026
-0.039816875010728836,0.023123500868678093,-0.0839029923081398,-0.039915479719638824,0.004963637329638004,1209,2024,offense_team_rw,Georgia St,1985,2026
-0.04575406014919281,0.02220812253654003,-0.08857238292694092,-0.045706383883953094,-0.004194433335214853,1209,2025,offense_team_rw,Georgia St,1985,2026
-0.14777588844299316,0.02297803945839405,-0.1924087405204773,-0.14699406921863556,-0.1030936911702156,1209,2026,offense_team_rw,Georgia St,1985,2026
-0.15532074868679047,0.07474249601364136,-0.30162137746810913,-0.154940664768219,-0.010548621416091919,1209,2027,offense_team_rw,Georgia St,1985,2026
0.12704139947891235,0.024004999548196793,0.07954958081245422,0.1272919923067093,0.17206192016601562,1210,2003,offense_team_rw,Georgia Tech,1985,2026
0.19916091859340668,0.02128768153488636,0.15717679262161255,0.19908371567726135,0.24169380962848663,1210,2004,offense_team_rw,Georgia Tech,1985,2026
0.1700606495141983,0.022659340873360634,0.12533360719680786,0.1699371635913849,0.21478445827960968,1210,2005,offense_team_rw,Georgia Tech,1985,2026
0.11680231243371964,0.023662474006414413,0.06745193898677826,0.1167176216840744,0.1613243669271469,1210,2006,offense_team_rw,Georgia Tech,1985,2026
0.2271437644958496,0.021758869290351868,0.1853114366531372,0.22701245546340942,0.2690264880657196,1210,2007,offense_team_rw,Georgia Tech,1985,2026
0.18561801314353943,0.021448347717523575,0.14287129044532776,0.18607032299041748,0.22724111378192902,1210,2008,offense_team_rw,Georgia Tech,1985,2026
0.06275006383657455,0.02187889814376831,0.01963842660188675,0.06244546175003052,0.10500864684581757,1210,2009,offense_team_rw,Georgia Tech,1985,2026
0.12556417286396027,0.021380947902798653,0.08283794671297073,0.12606728076934814,0.16555103659629822,1210,2010,offense_team_rw,Georgia Tech,1985,2026
0.04569990932941437,0.022071873769164085,0.0014716105069965124,0.04561622440814972,0.0878785029053688,1210,2011,offense_team_rw,Georgia Tech,1985,2026
-0.021885981783270836,0.0243324376642704,-0.06950516998767853,-0.021792829036712646,0.024767279624938965,1210,2012,offense_team_rw,Georgia Tech,1985,2026
0.020459355786442757,0.022176001220941544,-0.02280445024371147,0.020706284791231155,0.06372205913066864,1210,2013,offense_team_rw,Georgia Tech,1985,2026
0.04194409400224686,0.02225426211953163,-0.003028096165508032,0.04213262349367142,0.08438805490732193,1210,2014,offense_team_rw,Georgia Tech,1985,2026
0.056050676852464676,0.023103738203644753,0.010249788872897625,0.056297942996025085,0.10159894078969955,1210,2015,offense_team_rw,Georgia Tech,1985,2026
0.14783324301242828,0.021069388836622238,0.10734580457210541,0.14843592047691345,0.18863652646541595,1210,2016,offense_team_rw,Georgia Tech,1985,2026
